id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count,average_rating,total_reviews,normalized_rating,rounded_normalized_rating,normalized_total_reviews,rounded_normalized_total_reviews
oXdLd4LNWEcgSqPLcsVO9A,Ambar,2108,4.5,$$$,Other,['Modern European'],https://www.yelp.com/biz/ambar-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,2799.0,4.6141,4907.0,85.76863219782119,85.77,14.610758979359662,14.61
LhVZjnt_W_RGymDCGJZVBw,Hot N Juicy Crawfish,2070,4.0,$$$,Seafood,"['Seafood', 'Cajun/Creole']",https://www.yelp.com/biz/hot-n-juicy-crawfish-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,2720.0,4.1704,4790.0,66.58741137817742,66.59,14.230456687794572,14.23
M_duatTMdDsNtQJQJcLOtw,Good Stuff Eatery,2038,3.5,$$,Other,['Burgers'],https://www.yelp.com/biz/good-stuff-eatery-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.3,2227.0,3.9177,4265.0,55.66315061386824,55.66,12.523972046156345,12.52
56eh2_ZImiSYeZ6qexhnmA,Kramers,2013,3.5,$$,American,"['Bookstores', 'American', 'Bars']",https://www.yelp.com/biz/kramers-washington-4?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,3943.0,4.162,5956.0,66.22427805637213,66.22,18.02047781569966,18.02
Ek_-kvajIvVJbi3ll4pMww,Pho 75,1990,4.0,$$,Other,"['Vietnamese', 'Noodles']",https://www.yelp.com/biz/pho-75-arlington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,1952.0,4.2476,3942.0,69.92477952619748,69.92,11.474077685681781,11.47
qKoY2Yf8XBe8iB86OB-X9A,JINYA Ramen Bar - Fairfax,1924,4.0,$$,Other,"['Ramen', 'Salad', 'Noodles']",https://www.yelp.com/biz/jinya-ramen-bar-fairfax-fairfax?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,3177.0,4.436,5101.0,78.06934117240188,78.07,15.241345685031693,15.24
sVCX7I3UjY9x54ENYGvMlw,Cuba Libre Restaurant & Rum Bar,1919,3.5,$$$,Other,"['Cuban', 'Music Venues', 'Latin American']",https://www.yelp.com/biz/cuba-libre-restaurant-and-rum-bar-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,4536.0,3.9919,6455.0,58.870828289814966,58.87,19.642450836990086,19.64
fJzrQD-doRptfSHIh53HWQ,Kogiya Korean BBQ,1908,4.0,$$$,Cocktail Bars,"['Korean', 'Barbeque', 'Cocktail Bars']",https://www.yelp.com/biz/kogiya-korean-bbq-annandale?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2880.0,4.3008,4788.0,72.22462389763098,72.22,14.223955793921665,14.22
Ej_S0TYGWOGi9LPdDz7DKA,Ambar,1899,4.5,$$$,Other,['Modern European'],https://www.yelp.com/biz/ambar-arlington-4?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.7,2799.0,4.6192,4698.0,85.98910600034586,85.99,13.931415569640826,13.93
ZORmIIKt6UmITGq-r5FHyA,Busboys and Poets - Shirlington,1880,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'American', 'Vegan']",https://www.yelp.com/biz/busboys-and-poets-shirlington-arlington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,2364.0,4.2228,4244.0,68.85267162372473,68.85,12.455712660490818,12.46
