,id,name,yelp_review_count,yelp_rating,price,main_category,categories,url,google_rating,google_review_count
52,fJzrQD-doRptfSHIh53HWQ,Kogiya Korean BBQ,1923,4.0,$$$,Korean,"['Korean', 'Barbeque', 'Cocktail Bars']",https://www.yelp.com/biz/kogiya-korean-bbq-annandale?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.5,2922.0
53,43nMGF7xqMwzt-aHgP78fA,Blackwall Hitch,1909,3.0,$$$,Seafood,"['Seafood', 'New American']",https://www.yelp.com/biz/blackwall-hitch-alexandria?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.1,3982.0
54,ZORmIIKt6UmITGq-r5FHyA,Busboys and Poets - Shirlington,1901,4.0,$$,Breakfast & Brunch,"['Breakfast & Brunch', 'New American', 'Vegan']",https://www.yelp.com/biz/busboys-and-poets-shirlington-arlington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,2434.0
55,MP6K_2ye4QRoG26tjGJGDA,"Joe's Seafood, Prime Steak & Stone Crab",1893,4.5,$$$,Seafood,"['Seafood', 'Steakhouses', 'Sandwiches']",https://www.yelp.com/biz/joes-seafood-prime-steak-and-stone-crab-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.6,4526.0
56,zQ4VOHh3Jv1Q5jNvkvJh6Q,Georgia Brown's,1875,3.5,$$$,Southern,"['Southern', 'Soul Food', 'Bars']",https://www.yelp.com/biz/georgia-browns-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,3650.0
57,9uuDSvj9b7ntCq0ETuizzg,Bistrot Du Coin,1863,4.0,$$,French,"['French', 'Breakfast & Brunch', 'Desserts']",https://www.yelp.com/biz/bistrot-du-coin-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,1471.0
58,w_KIG8bsFwHmbcJ_aNb-4A,Yechon,1833,3.5,$$,Korean,"['Korean', 'Japanese', 'Barbeque']",https://www.yelp.com/biz/yechon-annandale?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,2283.0
59,uKdR9MY-hnkSWak3KuvsZQ,Tabard Inn Restaurant,1817,4.0,$$,American,"['American', 'Breakfast & Brunch']",https://www.yelp.com/biz/tabard-inn-restaurant-washington-2?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.4,220.0
60,wZi_d3sSSPzAojTEYmClug,Open City,1817,3.5,$$,American,"['American', 'Diners', 'Pizza']",https://www.yelp.com/biz/open-city-washington?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,2210.0
61,iP59g2r2tx0QD0wVU26WNw,Hill Country Barbecue Market,1804,3.5,$$,Barbeque,"['Barbeque', 'Bars', 'Sandwiches']",https://www.yelp.com/biz/hill-country-washington-3?adjust_creative=Em25CrZcrTDPbtl6s0OoXQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Em25CrZcrTDPbtl6s0OoXQ,4.2,3781.0
